system:index,Class,pc1,pc2,.geo
000000000000000002cf_0,1,0.4113215321857591,-5.709893497768327,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d0_0,1,54.56637830972766,-669.2124642187301,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d1_0,1,-0.6770598599127035,-1.0948269598210663,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d2_0,1,-0.5650830920853136,-2.76379365656993,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d3_0,1,1.8827988796456512,16.409648073041463,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d4_0,1,1.3676124850193063,-26.328754270211046,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d5_0,1,0.03883721486645751,-12.160947300141906,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d6_0,1,2.395512303336435,-40.369744734287245,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d7_0,1,-0.4484365101983196,-4.565501582448735,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d8_0,1,-0.528608941545745,-1.6358664525053934,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d9_0,1,1.668533922578258,-21.547711525113638,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002da_0,1,-0.5459827035804706,-0.9861398912443946,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002db_0,1,-0.2673276394919914,-6.773804301315869,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dc_0,1,-0.709642305430599,-0.8391609782444542,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dd_0,1,-0.22935340788714184,-0.4201783998960548,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002de_0,1,-0.6442775773558957,-1.641273999775864,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002df_0,1,-0.5477145221611817,-2.2296402624408844,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e0_0,1,-0.42988062876743455,-5.025107489214043,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e1_0,1,-0.5808268112543942,4.127302622481565,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e2_0,1,6.999571737477836,-93.31915994514631,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e3_0,1,-0.6030320096217762,-1.8370662280479189,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e4_0,1,-0.18112639404293632,-8.07664340800364,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e5_0,1,-0.6338674222273352,-1.3939107296310278,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e6_0,1,-0.6816135156057046,-1.033551421166188,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e7_0,1,-0.49902714235631046,-0.6779951987361409,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e8_0,1,-0.6389916660646667,-0.5020674661950489,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e9_0,1,-0.5928821949793974,-2.617786610207187,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ea_0,1,-0.7099864375292462,-0.8454659396101883,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002eb_0,1,5.525075547773933,-82.38958511022284,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ec_0,1,44.23688220201923,-600.1817165804939,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ed_0,1,0.551047211651869,-18.75969925882179,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ee_0,1,-0.41978016449754435,-2.8265874564418385,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ef_0,1,30.185670279534683,-233.25146620200715,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f0_0,1,1.076670397709335,19.58006654679707,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f1_0,1,2.9532970449242697,-47.07649386399704,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f2_0,1,-0.4939506125337181,-1.7664816652833157,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f3_0,1,-0.6878844035553194,-1.0185542080553227,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f4_0,1,0.8621669034834342,-23.09688359823106,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f5_0,1,-0.6927834930987617,-0.6175271459064383,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f6_0,1,16.194245437673896,-61.10964592475246,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f7_0,1,-0.6890696791544787,-0.8600744085027455,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f8_0,1,-0.7001063800968516,-0.6017306591781089,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f9_0,1,-0.48280830052989726,-3.8633375673231263,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fa_0,1,-0.701743932667009,-0.8412233107489574,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fb_0,1,-0.05890156084482349,-4.7392572783595925,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fc_0,1,-0.21611066916001354,-5.07650054709094,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fd_0,1,-0.6809249539436938,0.13039228750944598,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fe_0,1,2.916195814732832,-46.00084082319977,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ff_0,1,-0.15732487800838976,1.6804374231179315,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000300_0,1,0.15838344373956484,-5.592030193162882,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000301_0,1,-0.6950441302233288,-0.38013996849103976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000302_0,1,79.44415799000505,-1130.7780621280665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000303_0,1,-0.3195409407811827,-2.739749176432264,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000304_0,1,32.379108729518656,-454.8655282064382,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000305_0,1,-0.5988404835102216,4.586583775207021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000306_0,1,-0.3842292326390904,-4.7494597003588686,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000307_0,1,-0.5841773927647589,-0.13451375112158878,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000308_0,1,-0.5490207723689099,-1.9810977584162321,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000309_0,1,-0.623578473284954,-0.6585219139350036,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030a_0,1,-0.6729367075790806,-1.3329421855210841,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030b_0,1,-0.5640982815705329,-2.809447936903113,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030c_0,1,16.043196290660042,-211.55722937454743,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030d_0,1,-0.6394922497081172,-0.7387118460522304,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030e_0,1,1.2812810971192548,-2.27438445990645,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030f_0,1,-0.6871308358254943,-1.1309225776412155,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000310_0,1,-0.7104320811682242,-0.8434907465811378,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000311_0,1,-0.6855138513706261,-1.1497992961331223,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000312_0,1,9.054106463685423,-110.64898574552242,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000313_0,1,-0.5438462034264169,-2.721336643674978,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000314_0,1,-0.7095054436669842,-0.8361058619396231,"{""type"":""MultiPoint"",""coordinates"":[]}"
